CRM,SCHOOL,AM,SM,Whatsapp Number, additional what' app no. ,School Address,NAME DESIG.,MOBILE,EXAPIRY,,,,,EMAIL,,,Comment ,
65690,"The Crescent School, Kaptanganj",iqbal,vikas ,99350 00766,,"Dr Mohd Hasib , Main Branch, The Crescent School, Chilwan, Tahsil KAPTANGANJ, Kushinagar U.P. 274301",,vikas,9.94E+09,2024-04-01114 Days,2023-12-08 16:08:157 hour 6 min,3,-,-,crescentcpj@gmail.com,,,
10247,Mangal Newton School,iqbal,vikas,83024 06368,,"Mangal Newton School , Hasti Complex 5th milestone Ajmer road, Beawar, Distt:- Ajmer , State :- Rajasthan ,Pin code :- 305901, Mobile no:- 9314284515, 8302406368",,9.31E+19,2024-12-01358 Days,2023-12-08 14:52:548 hour 16 min,25,Jun-15,-,mangalnewton@gmail.com,,,,
12747,J.R. Global International Junior High School - Mr.Kuljeet,iqbal,vikas,88603 44802,,"JR Global International School, Address Sablu Garhi, Near Kharkhari RLY.STN, DELHI- NCR, Loni, Ghaziabad, Uttar Pradesh-201102",,9.31E+09,2024-04-24137 Days,2023-12-08 13:33:129 hour 37 min,6,-,-,kumarkuljeet2010@gmail.com,officejrgis.garhisablu@gmail.com,,,
13342,"Green Willow Public School, Mathura -UP ",iqbal,vikas,70176 35631,,"Green Willow Public School , NH-19, Navada, Mathura (U.P.) India – 281006, +91-8191000449, =+91-8191000443",,vikas,8.19E+09,2023-12-112 Days,2023-12-08 14:31:388 hour 38 min,33,01-Jan,-,gwps2010@gmail.com,accgwps2010@gmail.com,,
13659,Suryadev International School,iqbal,vikas,75206 62977,,Shiv Kumar C/O Surya Dev International School 69 Gher Khatti New Mandi Muzaffarnagar 251001 UP,,8.96E+19,7.52E+09,2024-10-20316 Days,2023-11-28 14:07:5010 day 9 hour 2 min,0,-,02-Feb,sdinternationalschool@gmail.com,81804@cbseshiksha.in,,
65521,IK Model School,iqbal,vikas,91222 88811,,"IK Model School, Address: Kaushis Vihar, Bypass Rd, Raxaul, Bihar 845305, +91 91222 88811, +91 93823 43321 ",,9.12E+09,2024-09-14280 Days,2023-12-08 19:07:244 hour 7 min,36,-,-,mustafa1989du@gmail.com,,,,
66061,Jupiter Pre School,iqbal,vikas,74155 06133,94258 07444,"Jupiter International School C3, Yashwar nagar, kachnar city, Vijay Nagar, Jabalpur MP 482002",,9.42E+19,2024-03-30112 Days,2023-12-08 16:00:367 hour 14 min,26,-,-,sonam.jaiswal227@gmail.com,,,,
66154,Promise Land Public Inter College-Anugrah Stanley,iqbal,vikas,94526 15490,,"Promise Land Public Inter College ,P.O. Rupaidiha Distt. Bahraich UP-271881,Contact No: 7754081675",,9.45E+09,2024-04-25138 Days,2023-12-08 20:53:122 hour 22 min,30,05-May,-,stanley.anugrah@icloud.com,,,,
66258,SEMS MODEL SCHOOL,iqbal,vikas,99849 07313,,"SEMS MODEL SCHOOL Address:- Near Baram BABA Mandir, Karvi Road, Manikpur, Chitrakoot (UP)  Pin code:- 210208 ,Mobile:-8448449915, 9984907313, 9125789847",,9.13E+19,2024-10-13309 Days,2023-12-08 13:21:319 hour 58 min,12,-,02-Feb,rksmkp88@gmail.com,,,,
66910,St Thomas School,iqbal,vikas,99574 73740,,"Seby M Baby, ST Thomas school, Dhakuakhana Lakhimpur Assam- 787055, Ph 9957473740",,9.96E+09,2024-03-24106 Days,2023-12-08 13:23:039 hour 58 min,14,-,-,babyseby@gmail.com,,,,
67213,Contai Public School,iqbal,vikas,97344 82037,,"Contai Public School , Add- Dakshin Gopinathpur, P.O.- Contai Super Market, Distt- Purba Medinipur, West Bengal, Pin No.- 721402, Phone No. - 9734482037/ 9432427407",,94340057579734482037 Totan Bera Sir,2024-12-10367 Days,2023-12-08 13:09:5610 hour 12 min,4,-,01-Jan,cps953@gmail.com,baruncontai@gmail.com,,,
68376,Gurukul Vidya Bhawan,iqbal,vikas,94604 31999,,"Gurukul Vidhya Bhawan Sec.School ,Address- Near Talab , Amrakunj,Dahod Road Thikariya, Banswara (Raj.), Pin Code-327001",,9.46E+09,2024-03-28110 Days,2023-12-08 16:01:447 hour 23 min,22,00/03,00/01,shaktawatls@gmail.com,,,,
68775,Yash Group of Institutes,rohit,vikas,99606 84460,,Near Railway station Satona Kh TQ. Partur Dist Jalna Maharashtra 431502.,,9.67E+19,9.50E+09,2024-06-29203 Days,2023-12-08 11:46:5211 hour 39 min,4,-,-,yashgroupofintitutes@gmail.com,,,
