ID,School,ADDRESS,Mobile
3,"Stanford International Girls School, Ujjain","gram mindia ,Indore road, Ujjain,456001",919425984873
5,"Akshat International School, Ujjain","Akshat International School, Lalpur, Ujjain Dewas Rd, Nagziri, Ujjain, Madhya Pradesh 456664",911234567890
52,The Honey Bees Public School,"Old RTO Building, Bacha Layout,Airforce Station Road,Bidar 585401.",919900085309
59,"Kalidas Montessori Nanakheda Branch, Ujjain","Kalidas Montessori Senior Sec. School, Rishi Nagar Ext. Near Brahmakumari Ashram, Ujjain 456010, Phone - 94071 30341, 98930 95848",918839950066
75,KALIDAS MONTESSORI SENIOR SECONDARY SCHOOL,"Address–17,MILKIPURA, Bada teliwada,UJJAIN-456010, 89826 13275, 90395 13294",918839950066
81,QMS Boys,Queen marys sr sec school ramnagar pushkar Road ajmer 305004,919950775013
282,Om Shanti English Medium SChool,"Opp. Sardar Baug, Shanala Road, Punit Nagar, Morbi, Gujarat 363641, India",919429800001
283,THE GRAMODAYA INTERNATIONAL COLLEGE,"727, Alyai, Mauranipur Jhansi 284204 U P",9.19935002098934E+021
284,Kids Arena,"The Tree House, 6A/D, Pushtikar CHS, Patel estate road, Opp Harbour line station, Jogeshwari west, Mumbai 400102, Ph 9821052249",919819903080
287,Kids Gurukul,"Plot No. 111 Parshpuram Apartment, Jay Nagar, Near Omkareshwar Temple, Jalgaon 425001, Minal Mam- 8208057602, Kruti Mam - 9823495225",918208057602 Meenal Jain
291,"Sai International School, Solan, Himachal Pradesh","Kotla Nala Rd, Near degree college, Kotla Nala, Solan, Himachal Pradesh 173212",919418451877
314,Ken International,"Ken International Girls School Chak Jayrampur behind Sanchi Dugdh Sangh Maxi Road Ujjain, Pin code 456010, Mob.no. 7974761294",919165116600
393,"Genius Global School, Solan , Himachal Pradesh","Genius Global School, 194, Anand Vihar,Saproon, Solan (H.P.) , Pincode - 173211, Phone - 9816277154, 7778800054",919816277154
394,RN FOUNDATION LITTLE HEART SCHOOL JAMSHEDPUR,"Kedo, Narwaphar, Near Sundernagar, Jamshedpur, Jharkhand 832111",9.18292437889879E+021
395,Maharana Pratap Public School Noida,"Vandana Enclave, Khora, Ghaziabad 201001 (U.P), India
+91-9818690071",919911181151
396,ST JOSEPHS ACADEMY-SR JUDE,"ST. JUDE'S ACADEMY, SONIPAT
CHURCH ROAD, NARENDER NAGAR, SONIPAT, HARYANA - 131001",9.12220507822165E+017
400,"K K Blossoms High School, Solan, Himachal Pradesh","Rabon Solan, NH-22, Near Housing Board p.o Saproon near Bhagat bank rabon branch, Himachal Pradesh 173211",917807577770
401,Himalaya Inter college-Prakash karki,"NH309A, Chaukori,Uttarakhand 262531",919412928493
404,QMS Nasirabad,"Nandla, Nasirabad, Dist Ajmer, Rajasthan, Ajmer, Rajasthan 305601",917727886671
405,QMS Girls,"Queen Mary's Girls School, B K Kaul Nagar, Pushkar Road, Ajmer 305001",919461276730
421,SSK Public School-Kunal Katkade,"Bramhanwade, Jaigaon Road, Wadzire, Jaygaon, Sinnar, Nashik, 422102",919657720406
422,"DG Agrawal Memorial, Pimpalner","Smt. D.G.Agrawal Memorial English Medium School,Indira Nagar,Pimplner. P. O.Tal. Sakri,Dist. Dhule ,Maharashta ,Pin - 424306",919405580456
425,"BRDM Public School, Haryana:Varun jain","Shora Kothi, Jind Rd, Kaithal, Haryana 136027, India",919416384694
430,"Twinkle Star School, Gandhidham, Kutch, Gujarat","Ward 2B, Adipur, Gandhidham, Gujarat 370205",919428567364
432,Rainbow India School-P S Bhati,"Plot no 13, dharmadeep park,bhuj kutch Gujarat,370001",918866222236
502,Shivam Public School,"Shivam Public School, Shivam nagar Dhakar mod khurja, Pin :- 203131",9.18477000372741E+021
503,Shivam Global School,"Shivam Global School, Khurja Junction, Bulandshahr (UP), Pin code- 203131.",918477000372
505,"St. Maryam Public School, Jhasi (Senior)",103/A NEAR TELEPHONE EXCHANGE VEERANGNA NAGAR JDA COLONY MEDICAL ROAD JHANSI (Pin - 284128),919235631471
511,My planet PreSchool-ANOOP KASHYAP,"35, Kavi Kalidas Marg, GANESH PURA, Ujjain, Madhya Pradesh 456001",919893108550
521,virgin mary school ujjain,"Virgin Mary H S School, 157, Mangal Colony , Udyan Marg , Sethi Nagar Ujjain, Pincode - 456001, Contact: 7000187472",919425915435
525,Gateway International High School,"Postal address:- M.RAJASHEKHAR REDDY, Gateway International High school, Budwel,Rajendranagar, Hyderabad-30,Pin code - 500030, Ph no:8886085556/9133443300",919133443300
702,Oil valley Girls and Boys School,"Oil Valley Girls' & Boys' School, (CBSE) Banipur, Hatimurah, P.O. DIBRUGARH, Assam 786003.",919435036608
1666,Rungta International School-Mrs.Nandini Dasgupta,"RIS Building, behind Nandan Van, Veer Savarkar Nagar, Raipur, Chhattisgarh 492099","910771 6888888,"
2488,Prabhu Dayal Vidyalaya Kurukshetra,"H No. 1635, Sector - 13, Urban Estate, Kurukshetra HARYANA, Pin Code - 136118",919811228474
3264,OM SHANTI ENGLISH MEDIUM SCHOOL(GSEB)(oseme),"Rajkot - Morbi Highway, B/h Solar Clock, Shanala, Morbi-363641, Gujara",919429800001
3897,Elite International School,"Elite International School, Near Civil Hospital Kandaghat,Pin code 173215 ,Contact 9780858487",919780858487
4707,GALAXY PUBLIC SCHOOL,"Railway Road, NAGROTA SURIAN, Kangra, Himachal Pradesh 176027 Contact-9816061009",919816061009
7576,SKY HIGH PUBLIC SCHOOL-Mr.DHARMENDRA SINGH BHADORIYA,"Dabra Bhitarwar Road Kariyawati, Dabra Gwalior M.P 475110",919425058039
7632,Billabong High International School,"BILLABONG HIGH INTERNATIONAL SCHOOL , MIST Campus, Limbodagari , Behind Aurobindo Hospital, Sanwer Road, Indore-453111, Phone - 9977073338",919424083770
7647,ILVA HIGHER SECONDARY SCHOOL-PROF H K JAIN,"31, Sapna Sangeeta Road, Behind Lotus, Sneh Nager, Navlakha, Indore, Madhya Pradesh 452001 Phone: 0731 246 0990","910731-460990,364709"
7675,NATIONAL PUBLIC SCHOOL-Mrs. VIJAY LAKSHMI KHATWANI,"Airport Rd, Opposite Bijasan Temple, HIlink City, Indore, Madhya Pradesh 452005",919977995005
8122,Aaradhya International School,"Munja Khedi, Narwar, Dewas-Ujjain Road, Ujjain (M.P.)-456664",9107342701122
8135,JOLLY MEMORIAL MISSION SCHOOL,"Jolly Memorial Mission School, Ora park colony, Near Sethi Nagar, Ujjain. Pin- 456010, Mob:- 7415415449",919425431368
8136,KADAMBINI CHILDRENS ACADEMY,"Kadambini Children's Academy, A-55, Indira Nagar, Agar Road,Ujjain, pincode: 456010, 0734-2580423. 9893087678",917974255142
8139,Lokmanya Tilak Higher Secondary School,"Lokmanya Tilak higher secondary school CBSE behind railway station neelganga ujjain, Pincode 456001",910002561712
8337,Shinde International School,"Opp.Vijaya Bank, Bhadgaon Road, Pachora, Maharashtra 424201","91(02597) 222406,"
8501,DG Agrawal Nava Pur School,"Smt. D.G. Agrawal English Medium School Navapur, Mahalakshmi park NH6 Navapur Tal Navapur Dist. Nandurbar,Pincode 425418",9102569243258
9072,Venkateswar English Medium School,"Venkateswar English Medium School
35, Chandrasekharpur
Near Infocity Road and CTTC
Bhubaneswar, Odisha-751024",919861172693
10247,Mangal Newton School,"Mangal Newton School , Hasti Complex 5th milestone Ajmer road, Beawar, Distt:- Ajmer , State :- Rajasthan ,Pin code :- 305901, Mobile no:- 9314284515, 8302406368",919314284515
10366,EVERGREEN PUBLIC SCHOOL-MS SANGEETA BABEL,"Neelkanth Mahadev Colony, Shastri Nagar, Bhilwara, Rajasthan 311001",919829045569
10450,impulse english school,"NH-11, Agra Side Bypass Tiraha, Agra Road, Dausa Rajasthan, 303303",9109414271682
10593,Dunes Academy - Jodhpur,"Indraprastha Nagar, Tehsil Aau, District Phalodi, City Jodhpur, Rajasthan, INDIA – 342301",917230017926
10670,Cambridge Public School,"Cambridge Shiksha Samiti Simani
Sivani (
Peeo Kalakhari
Buhana
Jhunjhunu
Rajasthan. pincode: 333502",919414128050
10982,Shree SudhaSagar Digamber Jain Vidya Vihar Senior Secondary School-Anand Soni,"Shri SudhaSagar Digamber Jain Vidhya Vihar senior secondary school,Sapanda Road,Kekri - 305404","919214557857,9214551160-ajay sir"
11256,SNS ACADEMY COIMBATORE,"538, THUDIYALUR-SARAVANAMPATTI ROAD, VELLAKINAR, COIMBATORE-641029,",919585559500
12657,THE KHAITAN SCHOOL-MRS DAVINDER KAUR,"Block F, 1A/A, F Block, Sector 40, Noida, Uttar Pradesh 201303","910120-4007575,4007555,24577093"
12747,J.R. Global International Junior High School - Mr.Kuljeet,"JR Global International School, Address Sablu Garhi, Near Kharkhari RLY.STN, DELHI- NCR, Loni, Ghaziabad, Uttar Pradesh-201102",919310049696
13342,"Green Willow Public School, Mathura -UP","Green Willow Public School , NH-19, Navada, Mathura (U.P.) India – 281006, +91-8191000449, =+91-8191000443",918191000443
13646,SHIKHAR SHIKSHA SADAN HIGHER SECONDARY SCHOOL,"Miranpur, Muzaffarnagar, NH-119, Meerut Pauri National Highway, Muzaffarnagar, Muzaffarnagar, Uttar Pradesh 251315 Contact - 8700150392","910131-3206002,"
13659,Suryadev International School,Shiv Kumar C/O Surya Dev International School 69 Gher Khatti New Mandi Muzaffarnagar 251001 UP,918958107523
14338,BR New Modern School:Gopal sir,"Agency chowk, Pauri Garhwal, Uttaranchal, India 246001",919410912527
64492,Sanskaar Public School,DIWADIYA BLOCK- ICHHAWAR SEHORE (MP)-466115,919617539348
