CRM ID ,Hot Lead School Name,Address Approved f,Address,Current Mobile No. ,Mobile,State,Start Date,End Date,Follow Date,Comment,Status,Tags,User,Marketing Date,Account Manager,Support Manager,matched_with,Start_Follow_Date_Difference,Start_End_Date_Difference,Unique Tags,Unique Status
7647,ILVA HIGHER SECONDARY SCHOOL-PROF H K JAIN,TRUE,"31, Sapna Sangeeta Road, Behind Lotus, Sneh Nager, Navlakha, Indore, Madhya Pradesh 452001 Phone: 0731 246 0990",910731 460990,"910731-460990,364709",MADHYA PRADESH,4/1/2016,1/1/2017,,We were trying to take followup for the parcel.,Important,"cbseData,Hot Lead,ESCH23,JUN23_IMP,JUN23",iqbal,########,iqbal,,0,,275,"['cbseData', 'Hot Lead', 'ESCH23', 'JUN23_IMP', 'JUN23']",['Important']
10366,EVERGREEN PUBLIC SCHOOL-MS SANGEETA BABEL,TRUE,"Neelkanth Mahadev Colony, Shastri Nagar, Bhilwara, Rajasthan 311001","98290 45569,  9511502044",919829000000,RAJASTHAN,4/1/2016,1/1/2017,,she is not interested she said after intro that we don't require any software.,Not Interested,"cbseData,website,Hot Lead,JUN23_IMP,JUN23",shivangi,########,,,0,,275,"['cbseData', 'website', 'Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
12657,THE KHAITAN SCHOOL-MRS DAVINDER KAUR,TRUE,"Block F, 1A/A, F Block, Sector 40, Noida, Uttar Pradesh 201303",9810521180,"910120-4007575,4007555,24577093",uttar pradesh,4/1/2016,1/1/2017,########,call not answer,No Response,"1800,cbseData,Hot Lead,JUN23_IMP,JUN23",shivangi,########,shivika,,0,2551,275,"['1800', 'cbseData', 'Hot Lead', 'JUN23_IMP', 'JUN23']",['No Response']
64995,MGM School -Bokaro,TRUE,"M5P6+5H5, Sector 4-F, near Central Bank of India, Sector 4-F, Sector 4, Bokaro Steel City, Jharkhand 827004","94705 91856, 9470591858, 9470970651",919471000000,eSchool,########,1/1/2017,3/1/2024,Talk to him he says call me in the next session,,"Raipur Con,Hot Lead,JUN23_IMP,JUN23",rohit,########,,,0,2682,66,"['Raipur Con', 'Hot Lead', 'JUN23_IMP', 'JUN23']",[]
65312,Annpurna Bal Vinay Mandir High School: Sagar pandya,TRUE,"393, Kulkarni Ka Bhatta, Kalyanmill Naka, Pardesipura, Indore - 452003, Near MP Government School","98266 66484, 99772 86607",919827000000,MADHYA PRADESH,7/3/2017,7/3/2017,,No Response,"Call Later,Updated,No Response","Hot Lead,website,JUN23_IMP,JUN23",shivika,########,shivika,,0,,0,"['Hot Lead', 'website', 'JUN23_IMP', 'JUN23']","['Call Later', 'Updated', 'No Response']"
65433,kids fountain play school- sanjay,TRUE,"Purvanchal  Royal City, Plot No. GH-05 Sector CHI-V, Greater Noida",9311771107,919314000000,DELHI,########,########,,Not getting any response from customer's end. So marking him not interested. If any call recvd from customer's end then take it in followup,"Call Later,e-Demo,Important,No Response,Not Interested","Hot Lead,website,JUN23_IMP,JUN23",shivika,########,shivika,,65433,,0,"['Hot Lead', 'website', 'JUN23_IMP', 'JUN23']","['Call Later', 'e-Demo', 'Important', 'No Response', 'Not Interested']"
65653,"Lotus Valley School, Ajmer - Mr.Ajay Singh Rajput",TRUE,"M.S Rawat Colony, Chamunda Chauraha, Foy Sagar Rd, Ajmer, Rajasthan 305005","94137 02432, 7014564495, ",917015000000,RAJASTHAN,########,########,,Since long he is not responding to the calls. Marking it not interested.,Not Interested,"1800,Hot Lead,JUN23_IMP,JUN23",sakina,########,sakina,,0,,0,"['1800', 'Hot Lead', 'JUN23_IMP', 'JUN23']",['Not Interested']
65893,Rajwanshi Sr. Sec. School/Suresh Kumar,TRUE,"Narnaul Ho, Narnaul - 123001 (Vpo Dohcana, Dist M/Garh, Haryana ",97290 14990,919417000000,HARYANA,########,########,,9729014990 called on this no ask if they use the software she said no then ask if they require and she cut the call seems not interested,Not Interested,"Ads - FB,Hot Lead",shivangi,########,shivangi,,0,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
65914,RAJA Sahib Public Sr. Sec. School Jhingran/Principal Tarjiwan Singh Garcha,TRUE," Raja Sahib Sen. Sec, School VPO Jhingran Distt SBS Nagar, Punjab 4X6J+PM4, Pin coce :- 144507","81465 40969, Balvir singh 8847593896, 	94176-72639",918147000000,PUNJAB,########,########,,"looks like he isn't responding to my calls, marking it not interested.",Not Interested,"Ads - FB,Hot Lead",sakina,########,sakina,,0,,0,"['Ads - FB', 'Hot Lead']",['Not Interested']
66009,Anantha Sai Vidya Nikethan-Srikanth,TRUE,"Sukh Vihar, Bagh Amberpet, Amberpet, Hyderabad, Telangana 500013","91777 73945, 98498 01147",919178000000,TELANGANA,########,########,5/1/2020,He said call me another day. I am on Important call.,e-Demo,"Ads - Email,Hot Lead,JUN23_IMP,JUN23",bhawna,########,,,0,829,0,"['Ads - Email', 'Hot Lead', 'JUN23_IMP', 'JUN23']",['e-Demo']
