CRM ID,SCHOOL,ADDRESS,pincodes,REASON,CircleName,RegionName,DivisionName,OfficeName,OfficeType,Delivery,District,StateName,Mobile/Contact Number,Emails,Other Email,Contact number,Other Contacts
,SICA Senior Secondary School,"Plot. 17 & 17A, Phase – II Scheme No. 78, INDORE – 452010, Phone no - (+)91 731 2577254, 2577271",,,,,,,,,,,918866330440,,,,
,Anuj middle school,"Deendayal Nagar Main Rd, Tata Nagar, Ratlam, Madhya Pradesh 457001",,,,,,,,,,,7947435509,,,,
,Army Public School,"Mall Road, Nasirabad, Rajasthan 305601",,,,,,,,,,,7737690183,,,,
,B.R. Mehta Vidhyapeeth School,"Pipliya Dabi,Unhel,Dist Ujjain, Rui Gada Road,456224",,,,,,,,,,,9893608822,,,,
,Brilliant english school,"khurdi road, Gwalipura, Manpur, rampriya khurd",,,,,,,,,,,7005036843,,,,
,DS Public School-Sanad Saxena,"OCTORI NO, 08, NAWA PURBA, Firozpur, Punjab 152004",,,,,,,,,,,8847691198,,,,
,Emerald School,"189-A Sector, Indrapuri, Bhopal, Madhya Pradesh 462021",,,,,,,,,,,098269 39250,,,,
,"Gajra Academy,Hasalpur","Hasalpur, Mhow, India, Madhya Pradesh",,,,,,,,,,,96913 06534,,,,
,Garnet Education Private Limited,,,,,,,,,,,,919818682838,,,,
,GAYATRI INTERNATIONAL ACADEMY,"BACCHANPUR, Dhar 464001 ",,,,,,,,,,,9770921510,,,,
,"GdGoenka Lapetite Lohia Nagar, Ghaziabad","Gd Goenka La Petite, C-3, Lohia Nagar, Gzb,Pin code - 201001",,,,,,,,,,,9953998904,,,,
,,,,,,,,,,,,,,,,,
,GLORIOUS SCHOOL ,"47, imli road, Mumbai - Agra National Hwy, Manpur, Madhya Pradesh 453661",,,,,,,,,,,9300765651,,,,
,Grace Higher Secondry School,"9th, Barwaha, Khargone - 451115 (Surana Nagar)",,,,,,,,,,,6261031656,,,,
,GURU HARKRISHAN PUBLIC SCHOOL,"Khandwa Rd, Davv Takshila Parisar, Indore, Madhya Pradesh 452001",,,,,,,,,,,9826385505,,,,
,Height's Academy ,"श्रीराम-पालकी धाम रोड़, नालछा, जिला - धार",,,,,,,,,,,94259 63851,,,,
,ILVA HIGHER SECONDARY SCHOOL-PROF H K JAIN,"31, Sapna Sangeeta Road, Behind Lotus, Sneh Nager, Navlakha, Indore, Madhya Pradesh 452001",,,,,,,,,,,731 246 0990,,,,
,Indore Convet Her Sec School,"Banganga, Maharana Pratap Nagar Indore, Madhya Pradesh 452015",,,,,,,,,,,9826096272,,,,
,Jain Public School,"Sagod Rd, Opp. Central School, Ratlam, Madhya Pradesh 457001",,,,,,,,,,,9893066008,,,,
,Jawahar Public School,"108, Indore - Dhar Rd, Geeta Nagar, Indore, Madhya Pradesh 452006",,,,,,,,,,,98266 47865,,,,
,Krishna Public School,"MIG-28, Ayodhya Bypass Rd, Ayodhya Phase 3, Sector A, Rajeev Nagar, Ayodhya Bypass, Bhopal, Madhya Pradesh 462021",,,,,,,,,,,"077524 18283,088966 79045,099738 02543,098373 80300,094157 55654,074154 85969",,,,
,LBS College pratapgarh,"National Highway 113 Banswara, road, Pratapgarh, Rajasthan 312605",,,,,,,,,,,7597547818,,,,
,LIMRA INSTITUTE (temporatr,ly closed),,,,,,,,,,,919733330049,,,,
