ID,SCHOOL,ADDRESS,pincodes,REASON,CircleName,RegionName,DivisionName,OfficeName,OfficeType,Delivery,District,StateName,Mobile/Contact Number,Emails,Other Email,Contact number,Other Contacts
83085,Royal Kids Pre school Bachapan Ki Aadharshilla ,"73, Royal Krishna Banglow, Agra Bombay road, Rau, Indore - 453331 (Near Emerald Height)",453331,,,,,,,,,,078989 19934,,,,
65841,Snower Valley Public School,"Vill Haat, Bajaura, Himachal Pradesh 175125",175125,,,,,,,,,,98161 46633,,,,
83079,Mother’s Pride Bhiwani,"Bhiwani-Rohtak Road Bharat Nagar, Bhiwani, Haryana 127021",127021,,,,,,,,,,"9044723000, 9818124525",,,,
74690,Kohinoor Group of Education,"Bega Road,Near Batra Clinic, Ganaur, India 131101",131101,,,,,,,,,,9467040786,,,,
82557,Bright Eye Global School,"D-755, Behind Markaz Dawatul Haque Madrasa,Khadda Colony, Jaitpur Extn-II, New Delhi -110044",110044,,,,,,,,,,9891511077,,,,
82568,Pioneer convent school,"Sector R, Mahalakshmi nagar, Near Bombay Hospital, Indore 452010 ",452010,,,,,,,,,,9893510329,,,,
83050,PUSHPA CONVENT HIGHER SECONDARY SCHOOL,"PUSHPA CONVENT HIGHER SECONDARY SCHOOL, CHHAWANI NAKA, AGAR MALWA,  Cotact- ",465441,,,,,,,,,,90983 27486,,,,
81941,"Delhi World Public School, Dewas","31,32/2 Gram Sukliya, A.B. Road, Kshipra, Dewas, Madhya Pradesh 455001
Contact-98931 93894",,,,,,,,,,,98931 93894,,,,
82267,Shrisai Nath H.s. School (s N Education Society),"91/26, Main Road, Banganga, Indore - 452015. ",,,,,,,,,,,094795 04613,,,,
82882,The Royal Elementary School,"8 Khan compound, bypass, MR 9 Rd, Khajrana, Indore, Madhya Pradesh 452016",,,,,,,,,,,7828474151,,,,
83004,St.Andrews English High School,"Marvadi Rd, Old City, Loha Bazar, Azad Market, Peer Gate Area, Bhopal, Madhya Pradesh 462001",,,,,,,,,,,099819 12299,,,,
67910,Praveen Vidyapeeth-Deepak Jadon,"Praveen Chauk NH 2, Sirsaganj, India, Uttar Pradesh 283151",,,,,,,,,,,"073007 87344, 919528385650",,,,
67952,RED ROSE PLAY SCHOOL-AMIT KUMAR BHARDWAJ,"Baraut, Baoli Road, Baraut Baghpat, Baraut - 250611 (Near Cheap Gun House)",,,,,,,,,,,": 7599260000 ,7599240000 Anju Sharma",,,,
82814,"Genius Play School, Ajmer Road Branch","Plot No 16, 100 Feet Road, Maharshi Dayanand Colony, Bank Colony, Beawar, Rajasthan 305901",,,,,,,,,,,092149 03106,,,,
82812,Emmanuel Public School,"Ajmer road pahrasiya , madanganj, kishangargh ajmer Rajaasthan - 305807",,,,,,,,,,,918696877111,,,,
,Brilliant English School,"Khurdi road , Gwalipura manpur rampriya khurdi madhya pradesh - 453661",,,,,,,,,,,7005036843,,,,
,Gems Academic School ,Ward no 10. Tulsi nagar Rewa Madhya Pradesh 486001,,,,,,,,,,,9826337706,,,,
,Shikhar Siksha Sadan Higher Secondary School ,"bIJLIGHAR KE SAMNE , Miranpur Muzzaffarnagar NH119 Meerut Pauri ntl. Highway Muzzaffarnagar Uttar Pradesh 251315 ",,,,,,,,,,,8700150392,,,,
,Little millenium Preschool,C3 Sector E Aliganj Lucknow Uttar Pradesh -226024,,,,,,,,,,,"09838102927 ,07773006181",,,,
,The Millenium School,halka number 13 AB by pass Silver Spring phase 2 Nayta mundla opp. mata Gujari School Indore M.P. 452001,,,,,,,,,,,9575554444,,,,
67179,Medhaam Preschool & Daycare,"Medhaam Preschool & Daycare C Block, South City 1 Gurugram, Haryana 122 007 (near Rakshak apartments)",,,,,,,,,,,096541 22900,,,,
,Murli shankar Acadmey ,Noowa bageecha Gola Rampur Jharkhand 829110,,,,,,,,,,,72501 13144 #N/A,,,,
,dolphin school ,"73, jawaharganj ganga nagar colony, hapur, uttar pradesh, 245101 ",,,,,,,,,,,9219426878,,,,
,krishna public school ,"by pass road, dibadih, ranchi, jharkhand,834002",,,,,,,,,,,9973802543,,,,
,New pink flower HS ,"Pink Flower H.S School ""Main road , Nanda Nagar, Janta Quarter
Near Moti baba mandir 
Indore, India 452003"" ",,,,,,,,,,,9425056530,,,,
,Prudential Kids Higher Secondary School,"Near Tirumala greens near DPS school , behind Goyal avenue nipania Indore, 452010",,,,,,,,,,,9340102129,,,,
65841,Snower Valley Public School,"Vill Haat, Bajaura, Himachal Pradesh 175125",,,,,,,,,,,98161 46633,,,,
83079,Mother’s Pride Bhiwani,"Bhiwani-Rohtak Road Bharat Nagar, Bhiwani, Haryana 127021",,,,,,,,,,,9044723000 9818124525,,,,
74690,Kohinoor Group of Education,"Bega Road,Near Batra Clinic, Ganaur, India 131101",,,,,,,,,,,9467040786,,,,
82557,Bright Eye Global School,"D-755, Behind Markaz Dawatul Haque Madrasa,Khadda Colony, Jaitpur Extn-II, New Delhi -110044",,,,,,,,,,,9891511077,,,,
82568,Pioneer convent school,"Sector R, Mahalakshmi nagar, Near Bombay Hospital, Indore 452010 ",,,,,,,,,,,9893510329,,,,
,Gyandeep Public School,"NH-233, Varanasi Azamghar Road, Cholapur, Cholapur, Uttar Pradesh 221101",,,,,,,,,,,9838173720,,,,
,Eurasia International School,"47 shree nagar main,opposite kara Masjid Indore 452001",,,,,,,,,,,9826786770,,,,
,Chatrapatti Raje Sambhaji School,"Mauli Nagar, to khar road ambajogai 431517 Beed Maharshtra",,,,,,,,,,,8087151597,,,,
,Imperial Academy School,"Naita Mundla,New RTO Main road,Indore- 452020",,,,,,,,,,,9826700687,,,,
,Malav Bharti School,"514,Govind colony,near Vrindawan colony,Subji-,mandi,Indore(M.P) - 452015",,,,,,,,,,,9827634341,,,,
,Shikshalay Day Scholar School,"55,Vasudev nagar opp. to collector office,manik bagh road,Indore (M.P)",,,,,,,,,,,6232101321,,,,
,Jay Bharti Convent School,"Mathura Road, C block,Sarita Vihar, Lalu colony, ALI New delhi 110044",,,,,,,,,,,9213128764,,,,
,Saraswati Gyan Mandir,"PO Pagariya, Tehsil pach pahar,Block Bhawani mandi,Jhalawad,Rajasthan pin code 326512",,,,,,,,,,,,,,,
,Euro kids Plays School,"Krishna nagar,near Blackberry showroom, Mathura,UP 281001",,,,,,,,,,,9837264800,,,,
