CRM ID,School Name,Address,Mobile
64995.0,MGM School -Bokaro,"M5P6+5H5, Sector 4-F, near Central Bank of India, Sector 4-F, Sector 4, Bokaro Steel City, Jharkhand 827004","94705 91856, 9470591858, 9470970651"
65914.0,RAJA Sahib Public Sr. Sec. School Jhingran/Principal Tarjiwan Singh Garcha,"Raja Sahib Sen. Sec, School VPO Jhingran Distt SBS Nagar, Punjab 4X6J+PM4, Pin coce :- 144507","81465 40969, Balvir singh 8847593896, 94176-72639"
66370.0,Arya Sanskar Valley-Pawan Kumar,"Address: P39H+4QP, Nambrot, P.O. Dhalwan, Teh. Baldawara, Distt, Himachal Pradesh 175004",094598 48000
66398.0,Central India Academy-Rita Singh,"X39Q+6P9, Bhopal - Indore Rd, Dewas, Madhya Pradesh 455001",73894 00609
66440.0,SS Public School- dharampal sir,"JVWP+JJ9, Ramgarh, Panchkula, Haryana 134111",98967 90200
66630.0,Speed well Edusports school-vikas gajanan,"VM93+3R, Gadgadsangvi, Maharashtra 422403",99229 56929
67035.0,SB International School-Gaurav Sharma,"9HWW+6V2, Bagpur, Uttar Pradesh 203202","94116 93973, 9412242818"
67091.0,Amar Bhartiya Mahavidyalaya-Chouhan,"68Q2+8J8, dhaneli, badagaon road, Morar, Gwalior, Madhya Pradesh 474006",94257 74121
67151.0,SSM english school,"8XWC+677, Central Jail Rd, Bheem Nagar, Varanasi, Uttar Pradesh 221102",79833 02155
67170.0,Ignited Minds International School-Vijay,Address Ignited Minds. 402. Orchid Business Centre. Marol Military Road Andheri East Mumbai 400059 Phone: +91 9456168694 Mobile: +91 7021854115,91 7021854115
67176.0,MRUN balika school,"Address: H9XG+Q4M, Govindpur Goriyon Rd, Govindpur Goriyon, Uttar Pradesh 212217",7388428907
67180.0,Anshul Vidya Mandir,"Address: G8VM+2MQ, Chandrashekhar Azad Nagar, Kaliyawav, Madhya Pradesh 457882",8815091698
67210.0,DPS,"City Office Maripur, Muzaffarpur, Bihar - 842001 +91-99733 63590 +91-9117309999 +91-9117109999 info@dpsmuzaffarpur.com Main Campus NH-77, Turki, Muzaffarpur, Bihar - 844127",99733 63590
67227.0,Sunrise International School-Sudhakar Reddy Madireddy,"M545+Q6X, Deendar Palli, Bhakarapeta, Andhra Pradesh 517194",9160020473
67228.0,Global Oriental Public School-Shamshad Ahmad,"Address: HWH7+XHJ, Bhelipatti, Uttar Pradesh 274404",9415275810
67680.0,K N Patel School-Payal Siddhapura,"4G3W+43V, Shayona Green, KNPIS Shankus Green Memories Party Plot Lane, Besides, Gota, Ahmedabad, Gujarat 382481",81810 00888
68311.0,MAXX WORLD SCHOOL,"Address: R5X7+373, Bajaura, Himachal Pradesh 175125",9816031100
68328.0,Sardonyx School - Jhajha-M Akhtar Sardonyx,"Address: Q9M6+856, Dumar Pokhar Rd, Jhajha, Bihar 811308",8298855384
68638.0,Oriental Naga Academy-Khathing Luiram,"Address: 39W9+2G7, Ukhrul, Manipur 795142",90894 50007
68672.0,SKS Doon World School-Vishnu Varshney,"Address: 53M8+4RG, SH 43, Jakhaulia, Gotha, Uttar Pradesh 202526",81267 40185
74832.0,Madam Curie High School-Vaishnv Garasiya,"F7HF+476, Kukdeshwar, Madhya Pradesh 458116",89650 07827
76602.0,Day Light Public School-,"HRH7+WPR, Virat Nagar Main Rd, Umri, Virat Nagar, Satna, Madhya Pradesh 485001","9098119493 , 94247 33944"
82324.0,Shree Swami Ramanand Vidya Sankul,"Address - SHREE SWAMI RAMANAND VIDYA SANKUL RAMTEKRI TAPOVAN VILL.- SOPRA,CHACHODA, Sopra, Madhya Pradesh 473115, + 91 963 005 8064, +91 963 005 8438",917024574702
66561.0,Knowledge Rain Public School-Sanjay Yadav,"Address: MP64+XHH, Oswada, Madhya Pradesh 451770 MADHYA PRADESH",918770677409
82537.0,Angel Hearts Academy,"Address - 6, Vandana Nagar, Indore, Madhya Pradesh 452018, +91 98272 13134 , 0731-2498857",919981823253
82427.0,Asmakam Life University,"Address - Asmakam Life University, 22 Sunshine Farms, A.B. Road, Indore 452012 (M.P.), +91-7723837600",919009042684
82311.0,Atharv Maurya,"Address - Catalyst World School, Bicholi Mardana, Ambamoliya Bypass Road, Indore - 452010, Phone - +91 9753333041/+91 9753333611",919244142716
82304.0,AVP Global,"Address - AVP Global School Kishore Campus, Plot no. 309-310/3, Khadkod, Jalgaon-Jamod Road, Burhanpur - 450331, +91 79990 87076",918369383010
82424.0,Banyan Tree school,"Address - Bisankhedi, Bhadbhada-Suraj Nagar Road, Ahead of Sports Authority of India, Bhopal, Madhya Pradesh 462044, Phone: +918989120736, +917746034885",919830818311
82322.0,Bhandari public school,"Address - Bhandari Public School Near B.T College, Sihada Road Khandwa 450001 (M.P), +91-9479884057 0733-2249884, 2249784",919425087900
82429.0,Birla Open Minds International School,"Address 1 : Jhalaria Road, Off Bypass Road,Near County Walk Township,Indore, Madhya Pradesh - 452016. Address 2 : MR-10 Toll Plaza Bridge, Next to Nirvana Resort, Kumedi - Indore, Madhya Pradesh - 453555, Phone : +91 9109444977 , +91 9522272090.",919630091365
82523.0,Canyon school Beenapur,"Address - Canyon School Beenapur Bhopal [M.P] Pin-code 462030 , +91-755 - 4077726, 4077531",919977016855
82507.0,Choithram International,"Address - Choithram International Choithram Hospital Campus 5, Manik Bagh Road Indore MP 452014 +91 731 2360345 +91 731 2360346",919584450114
82403.0,Columbia Convent school,"Address - Manavta Nagar, Kanadia Road, Indore (M.P.) INDIA – 45201, Phone No +91 731 -2845444, 2845249, Mobile No +91-98267-37370",919926031149
82320.0,Dr M B Khan,"Address - 187, Bhagora Road, New Guradiya, Mhow, Indore, Madhya Pradesh, Pincode: 453441, Phone - +91 9111136883,+91 9926085992",919926085992
82464.0,Eva World School,"Address - Mayakhedi, Opp. Omaxe City-1, Bypass Road, Near Vistara Township, Indore MP 452010, Phone - +91 9111040700, 9111040800",919826297927
82396.0,Gyan Sagar Girls International,"Address - Sector B, Kalani Bagh, DEWAS, Madhya Pradesh, Phone - 455001 INDIA, Phone No.: +91 – 7272 – 250001, +91- 7272- 796206",917509078610
82270.0,Gyan sagar school ujjain,"Address: Near Abhilasha Colony Dewas Road, Gram: Hamukhedi UJJAIN - 456010 Madhya Pradesh - INDIA Phone No.: +91 - 734 - 2526176, + 91 - 7509075008",919131275717
82402.0,Ideal International School,"Address - Govind Colony Main Road, Infront of Sch. No.51 Near Kamla Nehru Colony, West Indore Madhya Pradesh - 452015, Whatsapp - 9644200400, Phone - +91 9644200900, Landline - 0731 - 2617600, 0731 - 2617700",919340128577
82280.0,IES public school bhopal,"Address - IES public school bhopal, IES CAMPUS, Kalkheda Ratibad Main Road, Bhopal - 462044. +91 9229251475.",917974333548
82357.0,Kinder Buds School,"Address - 44, Kranti Kriplani Nagar, Indore, Madhya Pradesh 452009, Tel: +91-9993834881",919993834881
82492.0,Lioness vidhya mandir school,"Address - MVJW+C4M, Dev Guradia Rd, Near Tejaji Chowk, Near Ponpad Panchayat, Dinesh Nagar, Palda, Indore, Madhya Pradesh 452001",919617392501
82266.0,"Mount global school, raishen","Address - GSE Campus, Tajpura road, near Ashok Nagar, Raisen, Pincode - 464993 +91 6269904722",919806309412
82277.0,pakiza school Indore,"Address - Pakiza Public School: U-Turn from Ankur Rehab Center, Sai Vihar Colony, Gram Jetpura, Near Dharampuri, Ujjain Road, Indore (M.P.) Pincode - 453555, +91 9109908802, +91 9109908804",918602050501
82394.0,Patidar International SchoolNilima Vakil,"Address - Patidar International School Umia Hills, Maxi Rd, Tajpur, Madhya Pradesh 456010, +91 7880008056, +91 7880008057",919893433139
82458.0,Phoenix International school,"Address - Progressive Kidz Sudama Nagar, Biaora District Rajgarh 465674 (M.P) +91 9425422448",919713728172
82430.0,Prestige Group,"Address - Address Prestige Vihar’, Sch. No. 74-C, Sector D Vijay Nagar,Indore – 10 , M.P. (India) Phone +91-731- 4016666, 4016602, 4016625 Fax +91-731- 4016633",919827037474
82498.0,Prestige Public School Indore,"Address - Prestige Vihar’, Sch. No. 74-C, Sector D Vijay Nagar,Indore – 10 , M.P. (India) Phone +91-731- 4016666, 4016602, 4016625",919584966693
82457.0,Progressive Heights,"Address - Progressive Kidz Sudama Nagar, Biaora District Rajgarh 465674 (M.P) +91 9425422448",919425422448
82400.0,SANDIPANI ACADEMY Mandleshwar,"Address - Sandipani Academy Maheshwar Road, Mandleshwar, Pin-451221 Dist- Khargone(MP) India +91 7610489296 +91 7610489297",919926102214
82520.0,"School of Yoga, DAVV University, Indore","Address - Devi Ahilya Vishwavidyalaya, Nalanda Campus, R. N. T. Marg, Indore (M.P.),India Pin- 452 001 Phone:+91-731-2527532",919343244705
82330.0,Shaurya saraf,"Address - AB Road, Rau, Opposite Akashwani, Indore, MP, India – 453 331, Phone - +91-8720009992 / 93",918329495854
82526.0,Sherringwood World School,"Address - 4, Gyans Park,Telephone Nagar, Indore-452018, T: +91-7898921212 M: +91 7898900111",919179110072
82374.0,Shishu kunj International School,"Address - The Shishukunj International School – North Campus CBSE Affiliation No. 1031254 Gram Badodia Ema, Behind Vishwanath Dham, 453111, Indore – Ujjain Road, Indore Phone NO: +91 6262628311, +91 6262628312 Landline NO: 0732 1299017",917024441314
82324.0,Shree Swami Ramanand Vidya Sankul,"Address - SHREE SWAMI RAMANAND VIDYA SANKUL RAMTEKRI TAPOVAN VILL.- SOPRA,CHACHODA, Sopra, Madhya Pradesh 473115, + 91 963 005 8064, +91 963 005 8438",917024574702
82324.0,Shree Swami Ramanand Vidya Sankul,"Address - SHREE SWAMI RAMANAND VIDYA SANKUL RAMTEKRI TAPOVAN VILL.- SOPRA,CHACHODA, Sopra, Madhya Pradesh 473115, + 91 963 005 8064 +91 963 005 8438",917024574702
82488.0,Shri ramashraya public h s school,"Address - JRRH+HG9, Saptashrungi Nagar, Indore, Madhya Pradesh 452012",919893078305
82347.0,Sikka,"Address - Plot. 17 & 17A, Phase – II Scheme No. 78, INDORE – 452010, Phone no - (+)91 731 2577254, 2577271",918866330440
82301.0,Smt. Kamala Saklecha Gyan Mandir,"Address - Smt. Kamala Saklecha Gyan Mandir Bhanpura Dist: Mandsaur-458 775, Madhyapradesh. · +91-7427-280687 / 236563",919967059206
82446.0,Springfield World School,"Address - Springfield World School Opposite ITC Choupal, Lashkarpur Road, Vidisha 464001 (M.P.) India T: +91-7592 297 070 / M: +91-9179001197",917879629757
82467.0,St. Jones,"Address - Maharana Pratap Teraha, Jabalpur Naka, Shrivastav Colony, Vaishali Nagar, Damoh, Madhya Pradesh 470661, 07812-221658 +91 8109724606",919009864003
82331.0,The Aditya Birla Public School,"Address - The Aditya Birla Public School Dahej Road, Kesrol, P.O. - Eksal, Bharuch, Gujarat, PIN - 392130, +91-9904203311",919649416666
82369.0,The Wizz Kids Preschool & Activity Club,"Address - 102, Sampat Farms, Opposite Grande Exotica, Bicholi Mardana, Indore (M.P), Phone - (+91) 9111499119, 9111099119",919111099119
82274.0,Yugantar international,"Address - Yugantar international, Gram Undasa, Kanipura Tarana Road, Ujjain (M.P.) 456006, +91-7440371111",919039241112
66289.0,Lotus international school,"Lotus international public school jawaharnagar, Vivekanand colony petrol pump thana tah + dist - Bhandara, Maharastra 441906 MOHADI BRANCH ADDRESS - Dongargaon siddhi mandir jawal andhalgaon road tah - mohadi dist - Bhandara 441906",80555 51345 (jawaharnagar branch)
66104.0,MODERN INTERNATIONAL SCHOOL/Chandrashakher Patel,"Modern international school khulri, Village+post- khulri, Teh. - gadarwara, Distt.- narsinghpur 487441",6268 586 583
67767.0,Muskan International School,"Muskan International School Kantabanji, Dist: Bolangir, State: Odisha, Pin code: 767039, Mobile number: +91-9937794103",99377 94103
13342.0,"Green Willow Public School, Mathura -UP ","Green Willow Public School , NH-19, Navada, Mathura (U.P.) India – 281006, +91-8191000449, =+91-8191000443",70176 35631
65521.0,IK Model School,"IK Model School, Address: Kaushis Vihar, Bypass Rd, Raxaul, Bihar 845305, +91 91222 88811, +91 93823 43321 ",91222 88811
