CRM ID,SCHOOL,ADDRESS,pincodes,REASON,CircleName,RegionName,DivisionName,OfficeName,OfficeType,Delivery,District,StateName,Mobile/Contact Number,Emails,Other Email,Contact number,Other Contacts
82630,SUNRISE PUBLIC SCHOOL,"230/6, Chandra Lok Colony, Goverdhan, Chauraha, Mathura, Uttar Pradesh 226024",226024,CBSE School,Uttar Pradesh Circle,Lucknow  HQ Region,Lucknow Division,Aliganj SO,PO,Delivery,LUCKNOW,UTTAR PRADESH,"098979 03674,0542 210 6372,097982 12818","san_raghu2@hotmail.com,angelbhakti@yahoo.com,faiyaz.com@gmail.com,essen61@gmail.com,dssoftechbobby@gmail.com,daniels.patty01@gmail.com,koneru@yahoo.com,kotecha@yahoo.com","sunrisepublicschool828@gmail.com,jaincomputerwala@gmail.com","9650504920,9811680600",
82631,M. S. ACADEMY,"Padri Bazaar-Khukhundu Rd, Bahadurpur, Uttar Pradesh 274501",274501,CBSE School,Uttar Pradesh Circle,Gorakhpur Region,Deoria Division,Jaitpura BO,BO,Delivery,DEORIA,UTTAR PRADESH,094530 17200,"principal.santosh@gmail.com,dr.shivajirao@gmail.com",,,
82632,Destiny Public School indore,"Ring Road, Krishnapuri Colony, Palda Square, Babul Nagar, Musakhedi, Indore, Madhya Pradesh 452001",452001,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Indore G.P.O.,HO,Delivery,INDORE,MADHYA PRADESH,097525 61948,,,,
82633,GURU HARKRISHAN PUBLIC SCHOOL,"Khandwa Rd, Davv Takshila Parisar, Indore, Madhya Pradesh 452001",452001,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Indore G.P.O.,HO,Delivery,INDORE,MADHYA PRADESH,+1 731-236-7689,,,,
82634,Gyandeep Public School,"Ware House Rd, Opposite Water Tank, Murai Mohalla, Gadi Adda, Indore, Madhya Pradesh 452001",452001,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Indore G.P.O.,HO,Delivery,INDORE,MADHYA PRADESH,"098381 73720,01398 275 149,094521 04800,086302 65891,","shreeannaibuilders@gmail.com,sathishlog89@gmail.com,shalubaiju@gmail.com,friends_maninirmalkar@yahoo.com,hecraftngp@gmail.com,talentedmukesh@gmail.com,hannahreni@gmail.com,nirosh79@gmail.com,now212@gmail.com,sitinuraisyahjumadi@yahoo.com,drsimonmadge@gmail.com,taneja.devendera@gmail.com,tayfun.caylan@gmail.com","query@gyandeepschool.com,principal.dav@gail.co.in,gyandeep_skb@rediffmail.com,gyandeep_seohara@yahoo.co.in,gdvmpss10@yahoo.in,dhtsvm@airtelmail.in","9112422217,9412332339,+91-9899002060",
82635,New Annpurna Bal Vinay Mandir High School,"399, Kalyan Mill Rd, Kulkarni Ka Bhatta, Shilnath Camp, Indore, Madhya Pradesh 452003",452003,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Vallabhnagar S.O (Indore),PO,Delivery,INDORE,MADHYA PRADESH,098266 66484,,,,
82636,Rajoria International School,"484, Shyam Nagar Main Rd, DDU Nagar, Sukhlia, Indore, Madhya Pradesh 452003",452003,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Vallabhnagar S.O (Indore),PO,Delivery,INDORE,MADHYA PRADESH,074892 76224,,,,
82637,Little Wonders Convent School,"MR 10 Rd, Sukhlia, Sector C, Sukhlia, Indore, Madhya Pradesh 452010",452010,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Vijay Nagar S.O,PO,Delivery,INDORE,MADHYA PRADESH,"079999 01262,0731-4031188","future990@gmail.com,skywaltzairballooning@gmail.com,iamahumanslinky@gmail.com",,,
82638,Marvel Convent School,"E-74, Rajendra Nagar, Indore, Madhya Pradesh 452012",452012,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Rajendra Nagar S.O (Indore),PO,Delivery,INDORE,MADHYA PRADESH,098934 89640,,,,
82639,"Gurukul Public School,indore","1, Ganga Bagh Colony, Kushwah Nagar, Indore, Madhya Pradesh 452015",452015,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Industrial Estate S.O (Indore),PO,Delivery,INDORE,MADHYA PRADESH,081090 33456,,,,
82640,Alif Convent School,"38, Anar Bagh Colony, Mansuri Colony, Khajrana, Indore, Madhya Pradesh 452016",452016,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Buranakhedi B.O,BO,Delivery,INDORE,MADHYA PRADESH,099773 45556,,,,
82641,St.Loysis Higher Secondary School Khajrana,"1 Khajrana Main Road Sardar Bagh, behind Patel Market, Khajrana, Indore, Madhya Pradesh 452016",452016,CBSE School,Madhya Pradesh Circle,Indore Region,Indore City Division,Buranakhedi B.O,BO,Delivery,INDORE,MADHYA PRADESH,096444 44454,,,,
82642,"Kalpadruma International School, Indore","Kailod kartaal, Khandwa Road, behind Sky Line Resort, Indore, Madhya Pradesh 452020",452020,CBSE School,Madhya Pradesh Circle,Indore Region,Indore Moffusil Division,Datoda B.O,BO,Delivery,INDORE,MADHYA PRADESH,091414 34000,,,,
82643,G D Public School,"Naya Gaon, Alkapuri, Ratlam, Madhya Pradesh 457001",457001,CBSE School,Madhya Pradesh Circle,Indore Region,Ratlam Division,Dhamnod B.O,BO,Delivery,RATLAM,MADHYA PRADESH,"094254 24053,099186 01212",,,,
82644,JAY SHREE VIDHYA MANDIR SCHOOL,"J.S.V.M. School, Bhagat Singh Nagar, ward-22, Itarsi, Madhya Pradesh 461111",461111,CBSE School,Madhya Pradesh Circle,DivReportingCircle,Hoshangabad Division,PRtaku B.O,BO,Delivery,HOSHANGABAD,MADHYA PRADESH,093004 42441,,,,
82645,Rainbow Public Hr. Sec .School,"Nyas Colony, Bangali Colony, Itarsi, Madhya Pradesh 461111",461111,CBSE School,Madhya Pradesh Circle,DivReportingCircle,Hoshangabad Division,PRtaku B.O,BO,Delivery,HOSHANGABAD,MADHYA PRADESH,098263 65431,"dgtriple8@gmail.com,hitechguesthouse@gmail.com,crsenapati@gmail.com,directorguidance@gmail.com",,,
82646,Kendriya Vidyalaya No.2,"CPE, Hoshangabad, Chayan Colony, Itarsi, Madhya Pradesh 461114",461114,CBSE School,Madhya Pradesh Circle,DivReportingCircle,Hoshangabad Division,Cpe Itarsi S.O,PO,Delivery,HOSHANGABAD,MADHYA PRADESH,"075722 66061,075822 62290,090078 03482,0151 225 0072,077122 63743,07162 242 080,0166 624 6248,0182 222 7303,0831 242 6299,040 2720 2031,093300 32050,0151 - 2250072 , 2702402,022 2215 0831,0878 222 3031,0162 427 5360","rajaram21187@gmail.com,abishek.nayagam@gmail.com,style.vivek11@gmail.com,ponsinghbca@gmail.com,starbasha1989@gmail.com,siva2k8@gmail.com,kvkjayesh@gmail.com,ajeetpoonam@rediffmail.com,shiv_tripa53@rediffmail.com,deepak.r66@gmail.com,deepasaokar@yahoo.com,mtse.nyc@gmail.com,bshanmugavelu@gmail.com,rmdecp@gmail.com,panchvavabigail@gmail.com,moorjai@yahoo.com,nathwani@yahoo.com","ppl.golcondano2@kvs.gov.in,palicha@giasmd01.vsnl.net.in,kv2kota@gmail.com,kv2amb@gmail.com","9145223803,09455382101,9799141829,ppl.delhicanttno2@kvs.gov.in,prinkv2@rediffmail.com,+91-8709258248",
